SOC,T_degC,V_Vsrc0_V,R_R0_Ohm,R_R1_Ohm,C_C1_F,R_R2_Ohm,C_C2_F
0.52,25,3.70006903957867,0.0143144987254217,0.00101834833541323,4926.94871764074,0.0111628912331063,3328.06427024476
0.51,25,3.691216457601,0.0143335920541166,0.000945972487309545,5309.28903092567,0.0109174319998165,3343.52783199473
0.5,25,3.6827918562178,0.01437091738141,0.000878380155142989,5711.20398250593,0.0107102250871111,3363.54790379294
0.49,25,3.6747403302782,0.0144338912143164,0.000817517202353047,6140.65624534026,0.0105568309724881,3389.97800644523
0.48,25,3.66700841238443,0.014491119117431,0.000767438960665337,6520.3926014479,0.0104229549657199,3415.479167506
0.47,25,3.65954632500486,0.0145403598114574,0.000732352155638341,6831.02067457438,0.0103162103744221,3439.68904047397
0.46,25,3.65231055053815,0.0145727199456699,0.000723390848167867,6903.35811275407,0.010225386069688,3456.72016071891
0.45,25,3.64526313101187,0.0145823660841434,0.00074958325874443,6655.05852666101,0.0101559836446284,3464.09175778697
0.44,25,3.6383709079217,0.014600660294907,0.000764726429514301,6517.32927295747,0.0100983653494511,3467.23737137496
0.43,25,3.63160756626175,0.0146302203918182,0.000765475701446819,6523.64053305138,0.0100560982980137,3464.87777557621
0.42,25,3.62495150665756,0.0146683711037478,0.000761746904322252,6561.94728069136,0.0100210697290362,3461.36112401829
0.41,25,3.61838519414108,0.0147171393501145,0.000752483456614097,6639.79871635683,0.00999498753195698,3456.41441426989
0.4,25,3.6118944105368,0.0147693803712571,0.000744508314847026,6708.36371981472,0.00997777870547885,3450.03527912531
0.39,25,3.60546761289713,0.0148258634107069,0.000738106847660027,6765.585282372,0.00997140876230415,3441.90642649369
0.38,25,3.5990952723931,0.0148895443617683,0.000733407107357412,6808.69469144367,0.00997484784554611,3432.55018031156
0.37,25,3.5927695045113,0.0149617405724061,0.000730720540726623,6835.109167791,0.00998989118438836,3421.74190536764
0.36,25,3.58648344188635,0.0150350305055157,0.000743635464298384,6726.26980950828,0.0100184120169262,3411.06942993413
0.35,25,3.58023087071699,0.0151095736698433,0.000774427203127118,6462.45116507486,0.0100623759040567,3400.55255904403
0.34,25,3.5740057221064,0.015205566528043,0.00078613313718352,6360.37543585464,0.0101284802063101,3377.75819108162
0.33,25,3.56780163163082,0.01532489133619,0.000777078446668549,6434.23590528449,0.0102186677920143,3341.60894967085
0.32,25,3.56161128461027,0.0154339933588224,0.000783595130416553,6383.97436216577,0.0103205203685858,3306.31179343657
0.31,25,3.5554257599305,0.0155321042681395,0.000806853507390631,6200.26199951137,0.0104349146576154,3271.93076370379
0.3,25,3.54923363523483,0.0156546058113248,0.00084858457877785,5912.55769981805,0.0106042082288269,3228.6855312623
0.29,25,3.54301989468048,0.0158025110600255,0.000909555612991911,5516.54212954493,0.0108306813389175,3176.20791902872
0.28,25,3.53676458511727,0.0159666501209761,0.000988338342557542,5091.49619143001,0.0111217283764568,3113.85465885739
0.27,25,3.53044095601525,0.0161471688449272,0.0010850927945279,4637.15906559479,0.0114779294981967,3041.53702416689
0.26,25,3.52401290575962,0.0163920727625461,0.00114256113563417,4376.71309341647,0.0119207257060412,2948.57920797463
0.25,25,3.51743109069439,0.0166986564939402,0.00116239411581343,4302.01122743583,0.0124464783900646,2835.84848315558
0.24,25,3.51062764681287,0.016984397399115,0.00122114682062961,4111.0894130379,0.0130626401173865,2719.29322003721
0.23,25,3.50350950613132,0.0172504022243528,0.00131675262725076,3810.11888604635,0.0137644102015983,2599.11650017377
0.22,25,3.4959537840916,0.0174644339474625,0.00152759864931092,3362.84575514614,0.0145926210442314,2523.10923217676
0.21,25,3.48780910660724,0.0176317437579725,0.00184204139839431,2784.05194926131,0.0155344974912273,2486.8086814081
0.2,25,3.47891009542065,0.0177157803899683,0.00214711486756815,2358.99432770724,0.0162839204822794,2498.04389607676
0.19,25,3.46910452385975,0.0177258255946129,0.00244386337057486,2070.53722888023,0.0168623411631274,2551.51646973308
0.18,25,3.45831233231521,0.017764713638848,0.00260738632041799,1918.1135042916,0.0170673410537703,2646.53478958048
0.17,25,3.44658965983508,0.0178284252831608,0.00265624865089068,1882.76695127288,0.0169509562094732,2777.30947055652
0.16,25,3.43415960914622,0.0179934175929686,0.00261450253836811,1915.54530133576,0.016591897311402,2897.55852390171
0.15,25,3.42140646401822,0.0182428348166929,0.00249722759748918,2005.11078890539,0.0160305516688715,3009.03368933541
0.14,25,3.40879681382221,0.0186824576565499,0.00224484351980376,2280.65907800874,0.0155292988295999,2996.90818383351
0.13,25,3.39675876714811,0.0192756285603255,0.00188338933790088,2706.34646225703,0.0150765573528395,2885.00306032098
0.12,25,3.38557983551593,0.0200781826836224,0.00185150585554725,2725.60765845845,0.0150250511490539,2751.38740854449
0.11,25,3.37536614104145,0.0210444154604943,0.0020772537558961,2427.15814513316,0.015287197822502,2600.80024375577
0.1,25,3.36605857668868,0.0229835953902033,0.00269676371023776,1998.72378465012,0.0180911873200644,2239.21934581413
0.09,25,3.35746552959858,0.0256442022564864,0.00360824281369789,1473.90744718858,0.0227799183233766,1721.18949573674
0.08,25,3.34926391725799,0.0287938884416495,0.00586198905161117,1027.63137841857,0.0302630981025116,1303.86158573281
0.07,25,3.34092208572669,0.0323019302736928,0.00909923426133656,638.902925559937,0.039793811809327,960.319475872195
0.06,25,3.3314688117286,0.0374771759565029,0.0120229147368757,429.284365398451,0.058130419245592,692.116688082366
0.05,25,3.31890500159811,0.0438105312520616,0.0147287800168029,344.083037344163,0.0825839692334394,476.247748410724
0.04,25,3.29910854280371,0.0425165929624939,0.0155761544601809,320.972506831033,0.103930520392803,393.811130090857
0.03,25,3.26497810465248,0.0282702465314758,0.0264588560724496,209.079493765585,0.0670311912808697,985.380477049868
0.02,25,3.208777300675,NaN,NaN,NaN,NaN,NaN
0.00999999999999999,25,3.13045598872001,NaN,NaN,NaN,NaN,NaN
-8.67361737988404e-18,25,3.03548508545441,NaN,NaN,NaN,NaN,NaN
-0.01,25,2.88050547526673,NaN,NaN,NaN,NaN,NaN
-0.0197373230555555,25,NaN,NaN,NaN,NaN,NaN,NaN
1,15,4.188961997,0.0171183738506376,0.00148772209314216,1999.11700088306,0.00800060756234927,7205.09036110714
0.99,15,4.14814124456364,0.0171183738506376,0.00148772209314216,1999.11700088306,0.00800060756234927,7205.09036110714
0.98,15,4.12972455821254,0.0170447903977299,0.00150587502936481,1890.58272485648,0.00814883562035237,6918.39967110858
0.97,15,4.11649668301049,0.016600235964512,0.00161554599416484,1234.87289258932,0.00904435543776655,5186.35785783414
0.96,15,4.10712853901395,0.01643219175961,0.00150844191684113,8792.4951453498,0.00990763497485021,3713.13135748606
0.95,15,4.10070015055799,0.0171661081391536,0.000694230023368854,43141.537928115,0.0106657485574348,3084.14563742446
0.94,15,4.09619568649922,0.0177033723999071,6.65877650201016e-05,84064.1938236711,0.0115334492867196,2559.77624333762
0.93,15,4.09259684358803,0.0176035196109235,4.33971455948981e-05,146284.158989541,0.0127561924128235,2374.34469222692
0.92,15,4.08903960000052,0.0175069839997821,0.00017059628093075,170123.12177481,0.0141574213981691,2219.92764443242
0.91,15,4.08484060334866,0.0174207375947581,0.000764273627074769,74912.077809465,0.0161122769547258,2161.71123237294
0.9,15,4.07954203662493,0.0173172286857175,0.00128846059821361,3961.70814384754,0.0178628829564267,2127.18722823687
0.89,15,4.07293573275633,0.017163750702541,0.00161149658354967,3237.73387855519,0.019022256009594,2161.24468174124
0.88,15,4.06502069724433,0.0170164552179391,0.0018953707924345,2646.67573815842,0.0200033090806632,2203.91658834035
0.87,15,4.05594358469152,0.0168867864127704,0.00206759239498011,2434.56955331414,0.0204759610379983,2271.14882461227
0.86,15,4.04594299566599,0.016768255994099,0.0022069263093166,2266.09819281477,0.0208158235142009,2339.8733568966
0.85,15,4.03529835267859,0.0166802096450308,0.00225625162351133,2217.04870933342,0.0207922613789109,2412.68207637644
0.84,15,4.02428550039172,0.0166021879955802,0.00228812671362415,2185.23268295309,0.0207109337498911,2481.54634075571
0.83,15,4.01314481649771,0.0165505234305488,0.00227412142359495,2198.72710985083,0.020477728253918,2540.03978705162
0.82,15,4.00206657189973,0.0165061189268304,0.00225640894139158,2216.06704995836,0.0202404244381043,2591.66846515966
0.81,15,3.99118710250608,0.0164800650098465,0.00222932613177628,2243.12693878977,0.019992761677585,2625.94570247234
0.8,15,3.98059289062087,0.0164620357984592,0.00220185130025202,2271.00672362962,0.0197674984245984,2651.08520095921
0.79,15,3.97032761956134,0.0164630517334414,0.00217344607763162,2300.83237916844,0.0195953962370771,2654.53797569925
0.78,15,3.96040039622502,0.0164689291076616,0.00215317506183636,2322.12858306812,0.0194620675389155,2650.21486510763
0.77,15,3.9507938557324,0.0164861849588596,0.00215194262300644,2323.46111687741,0.0194194904133726,2627.69184952923
0.76,15,3.94147172050248,0.0165067199549092,0.00216142639290185,2313.55124067647,0.019425792516713,2598.94686970883
0.75,15,3.93238455635383,0.0165346470572535,0.00219506748355093,2278.29783938912,0.0195422820231349,2556.17584861166
0.74,15,3.92347490446704,0.016563694738884,0.00223797468793652,2235.05444194732,0.0197111584887775,2509.12045806622
0.73,15,3.9146801921753,0.0165951208751455,0.00230054942624644,2174.85209872828,0.0199912274485946,2452.97139741652
